,age,img_path,gender
0,100,../Data/UTKFace\100_0_0_20170112213500903.jpg.chip.jpg,Male
1,100,../Data/UTKFace\100_0_0_20170112215240346.jpg.chip.jpg,Male
2,100,../Data/UTKFace\100_1_0_20170110183726390.jpg.chip.jpg,Female
3,100,../Data/UTKFace\100_1_0_20170112213001988.jpg.chip.jpg,Female
4,100,../Data/UTKFace\100_1_0_20170112213303693.jpg.chip.jpg,Female
5,100,../Data/UTKFace\100_1_0_20170112215032192.jpg.chip.jpg,Female
6,100,../Data/UTKFace\100_1_0_20170117195420803.jpg.chip.jpg,Female
7,100,../Data/UTKFace\100_1_0_20170119212053665.jpg.chip.jpg,Female
8,100,../Data/UTKFace\100_1_2_20170105174847679.jpg.chip.jpg,Female
9,100,../Data/UTKFace\100_1_2_20170112213615815.jpg.chip.jpg,Female
10,100,../Data/UTKFace\100_1_2_20170112222336458.jpg.chip.jpg,Female
11,101,../Data/UTKFace\101_0_0_20170112213500903.jpg.chip.jpg,Male
12,101,../Data/UTKFace\101_1_2_20170105174739309.jpg.chip.jpg,Female
13,103,../Data/UTKFace\103_0_2_20170112213001988.jpg.chip.jpg,Male
14,105,../Data/UTKFace\105_0_0_20170112213001988.jpg.chip.jpg,Male
15,105,../Data/UTKFace\105_1_0_20170112213001988.jpg.chip.jpg,Female
16,105,../Data/UTKFace\105_1_0_20170112213021902.jpg.chip.jpg,Female
17,105,../Data/UTKFace\105_1_0_20170112213507183.jpg.chip.jpg,Female
18,105,../Data/UTKFace\105_1_1_20170112213303693.jpg.chip.jpg,Female
19,10,../Data/UTKFace\10_0_0_20161220222308131.jpg.chip.jpg,Male
20,10,../Data/UTKFace\10_0_0_20170103200329407.jpg.chip.jpg,Male
21,10,../Data/UTKFace\10_0_0_20170103200522151.jpg.chip.jpg,Male
22,10,../Data/UTKFace\10_0_0_20170103233459275.jpg.chip.jpg,Male
23,10,../Data/UTKFace\10_0_0_20170104013211746.jpg.chip.jpg,Male
24,10,../Data/UTKFace\10_0_0_20170110215927291.jpg.chip.jpg,Male
25,10,../Data/UTKFace\10_0_0_20170110220033115.jpg.chip.jpg,Male
26,10,../Data/UTKFace\10_0_0_20170110220111082.jpg.chip.jpg,Male
27,10,../Data/UTKFace\10_0_0_20170110220235233.jpg.chip.jpg,Male
28,10,../Data/UTKFace\10_0_0_20170110220251986.jpg.chip.jpg,Male
29,10,../Data/UTKFace\10_0_0_20170110220255346.jpg.chip.jpg,Male
